NAME,ESSROUND,EDITION,PRODDATE,IDNO,CNTRY,RESCLQ,RESRELQ,RESBAB,RESUNDQ,PREINTF,PREWHP,PRESD,PREPPIL,PREOREL,PRENREL,PREDK,PRENAP,PRENA,RESSWCD,INTLNGA,INTNUM,INTAGEA,INTGNDR,INTAGE,INTNUM1
ESS9INTe03,9,3,18.12.2020,35803,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,2244,26,1,NA,2244
ESS9INTe03,9,3,18.12.2020,35852,NL,1,2,5,4,2,0,0,0,0,0,0,1,0,1,DUT,1057,68,2,NA,1057
ESS9INTe03,9,3,18.12.2020,35895,NL,3,1,5,3,2,0,0,0,0,0,0,1,0,1,DUT,1898,26,1,NA,1898
ESS9INTe03,9,3,18.12.2020,35898,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,617,56,2,NA,1904
ESS9INTe03,9,3,18.12.2020,36017,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1491,55,1,NA,1491
ESS9INTe03,9,3,18.12.2020,36032,NL,1,2,5,5,2,0,0,0,0,0,0,1,0,1,DUT,111,60,1,NA,111
ESS9INTe03,9,3,18.12.2020,36089,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1728,48,1,NA,1728
ESS9INTe03,9,3,18.12.2020,36115,NL,3,2,5,4,2,0,0,0,0,0,0,1,0,1,DUT,1883,73,1,NA,1883
ESS9INTe03,9,3,18.12.2020,36150,NL,3,2,5,4,2,0,0,0,0,0,0,1,0,1,DUT,662,50,2,NA,662
ESS9INTe03,9,3,18.12.2020,36180,NL,3,3,5,5,2,0,0,0,0,0,0,1,0,1,DUT,65,64,2,NA,65
ESS9INTe03,9,3,18.12.2020,36233,NL,1,1,5,4,2,0,0,0,0,0,0,1,0,1,DUT,2367,62,2,NA,2367
ESS9INTe03,9,3,18.12.2020,36236,NL,1,1,5,4,2,0,0,0,0,0,0,1,0,1,DUT,1371,52,2,NA,1371
ESS9INTe03,9,3,18.12.2020,36272,NL,2,5,5,5,2,0,0,0,0,0,0,1,0,1,DUT,2358,65,1,NA,2358
ESS9INTe03,9,3,18.12.2020,36298,NL,3,1,4,4,2,0,0,0,0,0,0,1,0,1,DUT,617,56,2,NA,617
ESS9INTe03,9,3,18.12.2020,36478,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1008,57,1,NA,1008
ESS9INTe03,9,3,18.12.2020,36519,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,2244,26,1,NA,2244
ESS9INTe03,9,3,18.12.2020,36550,NL,2,1,5,5,1,1,0,0,0,0,0,0,0,1,DUT,1338,24,2,NA,1338
ESS9INTe03,9,3,18.12.2020,36570,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1848,60,1,NA,1904
ESS9INTe03,9,3,18.12.2020,36592,NL,2,5,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1883,73,1,NA,1883
ESS9INTe03,9,3,18.12.2020,36598,NL,3,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1785,68,1,NA,1785
ESS9INTe03,9,3,18.12.2020,36650,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1491,55,1,NA,1491
ESS9INTe03,9,3,18.12.2020,36656,NL,3,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,2475,55,2,NA,1904
ESS9INTe03,9,3,18.12.2020,36659,NL,2,2,5,5,2,0,0,0,0,0,0,1,0,1,DUT,279,21,1,NA,279
ESS9INTe03,9,3,18.12.2020,36722,NL,5,2,4,2,1,1,0,0,0,0,0,0,0,1,DUT,1338,24,2,NA,1338
ESS9INTe03,9,3,18.12.2020,36773,NL,1,1,5,4,2,0,0,0,0,0,0,1,0,1,DUT,1848,60,1,NA,1848
ESS9INTe03,9,3,18.12.2020,36795,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,662,50,2,NA,693
ESS9INTe03,9,3,18.12.2020,36812,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,65,64,2,NA,1904
ESS9INTe03,9,3,18.12.2020,36870,NL,3,1,4,5,2,0,0,0,0,0,0,1,0,1,DUT,1871,61,2,NA,1871
ESS9INTe03,9,3,18.12.2020,36976,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,361,69,2,NA,361
ESS9INTe03,9,3,18.12.2020,37010,NL,3,2,3,4,2,0,0,0,0,0,0,1,0,2,DUT,1669,69,1,NA,1669
ESS9INTe03,9,3,18.12.2020,37033,NL,3,1,5,4,2,0,0,0,0,0,0,1,0,1,DUT,716,63,1,NA,716
ESS9INTe03,9,3,18.12.2020,37055,NL,1,1,4,4,2,0,0,0,0,0,0,1,0,1,DUT,854,57,2,NA,854
ESS9INTe03,9,3,18.12.2020,37091,NL,2,3,5,5,2,0,0,0,0,0,0,1,0,1,DUT,984,42,2,NA,984
ESS9INTe03,9,3,18.12.2020,37182,NL,2,1,4,4,2,0,0,0,0,0,0,1,0,1,DUT,1814,68,1,NA,1814
ESS9INTe03,9,3,18.12.2020,37206,NL,1,2,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1504,60,1,NA,1504
ESS9INTe03,9,3,18.12.2020,37240,NL,2,2,4,4,2,0,0,0,0,0,0,1,0,1,DUT,1814,68,1,NA,1814
ESS9INTe03,9,3,18.12.2020,37257,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,361,69,2,NA,2358
ESS9INTe03,9,3,18.12.2020,37265,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,2,DUT,111,60,1,NA,111
ESS9INTe03,9,3,18.12.2020,37271,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,662,50,2,NA,662
ESS9INTe03,9,3,18.12.2020,37274,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,127,58,2,NA,127
ESS9INTe03,9,3,18.12.2020,37318,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,2,DUT,1057,68,2,NA,1057
ESS9INTe03,9,3,18.12.2020,37323,NL,3,1,5,4,2,0,0,0,0,0,0,1,0,1,DUT,1723,49,1,NA,1723
ESS9INTe03,9,3,18.12.2020,37326,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1059,68,2,NA,1059
ESS9INTe03,9,3,18.12.2020,37328,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1059,68,2,NA,1059
ESS9INTe03,9,3,18.12.2020,37427,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1427,49,2,NA,1427
ESS9INTe03,9,3,18.12.2020,37442,NL,3,2,5,5,2,0,0,0,0,0,0,1,0,1,DUT,968,58,2,NA,968
ESS9INTe03,9,3,18.12.2020,37535,NL,1,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1209,64,2,NA,1209
ESS9INTe03,9,3,18.12.2020,37547,NL,2,1,5,5,2,0,0,0,0,0,0,1,0,1,DUT,1848,60,1,NA,1848
ESS9INTe03,9,3,18.12.2020,37581,NL,3,1,5,4,2,0,0,0,0,0,0,1,0,1,DUT,1898,26,1,NA,1898
ESS9INTe03,9,3,18.12.2020,37585,NL,2,2,5,5,2,0,0,0,0,0,0,1,0,1,DUT,437,46,2,NA,437
